id,Categories,Response,Further Responses,Notes,
B083DHTDR3,Ship Mystery,"open ship mystery

Ok, Here's Ship Mystery

Welcome to the Ship Mystery game.You are a famous detective in town. So let's get started.Please select a character name.

jack

Welcome jack, I'm Ivy your companion.The captain wants to find his lost ring which was missing since the last night. Here is the scene that will help you to find the culprit. A Japanese ship was en route to the open sea. The captain went for a shower, removing his ring and keeping it on the table. When he returned, he found it had gone missing. The captain immediately called the three suspects and asked where were they and what were they doing in the last 15 minutes. Would you like to cross-examine the suspects?

yes

Great. Here is the statement from the cook.I was in the kitchen getting sushi for cooking.Would you like to call the next suspect?

yes

Wonderful. Here is the statement from the Cheif Engineer.I was working on the generator engine.Mr. jack would you like to call the next suspect?

yes

Fantastic. Here is the statement from the Sailor.I was on the mast correcting the flag which was upside down by mistake.Detective jack would you like to call the next suspect?

yes

Great. Here is the statement from the Radio Officer.I was messaging a company about arrival.This is the last suspect on our list. Would you like to guess the suspect? To hear the statements again please say ""repeat"".

yes

I'm sure you will find the culprit in no time. Please select the suspect. Cook, Chief Engineer, Sailor or Radio officer.

cook

I'm afraid that's the wrong one. Please say again.

chief engineer

I'm afraid that's the wrong one. Please say again.

help

You said help. Do you want to continue?

quit",,,https://creator.voiceflow.com/creator/terms?name=Pankaj%20kumar%20gautam&skill=Ship%20Mystery&children=true
B084P5MCRM,Story Dice,"open story dice

Ok, Here's Story Dice

Welcome to story dice. Where writers come for a random character, place, or item to include in their story. would you like to Roll a character, place, or item die?

character

Let it roll!

<Short audio>

Write a story about a Dark Lord

<Short audio>

Would you like to roll another die?

yes

Which die would you like to roll. character, place, or item

place

Let it Roll

<Short audio>

Write a story that takes place inside a shoe

<Short audio>

Would you like to roll another die?

quit",,,https://creator.voiceflow.com/creator/terms?name=Rebecca%20Dwenger&skill=Story%20Dice&children=true
B081RFG66R,Color Quiz,"open color quiz

Ok, Here's Figure Out Your Favorite Color!

Welcome to the color quiz, are you ready to play?

yes

Do you like the color red

yes

I think your favorite color is Red ,Say 'tell me more' to hear a short description for this color, or do you want to play again?

tell me more

The color code is d10000, Say yes to start the game or no to quit.

yes

Welcome to the color quiz, are you ready to play?

yes

Do you like the color red

no

Do you like the color orange

yes

I think your favorite color is Orange ,Say 'tell me more' to hear a short description for this color, or do you want to play again?

tell me more

The color code is ff6622, Say yes to start the game or no to quit.

quit",,,https://creator.voiceflow.com/creator/terms?name=Rishabh%20Dinkar&skill=Color%20Quiz&children=true
B081TSVGCK,Doremon quiz (For Kids),not found,,,https://creator.voiceflow.com/creator/terms?name=Rishabh%20Dinkar&skill=Doremon%20quiz%20(For%20Kids)&children=true
B081PY9821,Guess The Number Game,"open guess the number game

Ok, Here's Guess The Number Game

Welcome to Guess the number Game!Choose any number and don't tell me it's your secret !Now if you Done say Yes ?

yes

Now Double the value!if you done say yes!

yes

Now add 4 more! And if you done say yes!

yes

Now Half the value! And if you done say yes!

yes

Now subtract the number , which number you choosed first at the beginning of this game!if you done say yes!

yes

<Short audio>

your number is 2!Thank you for using!

<Short audio>

quit",,,https://creator.voiceflow.com/creator/terms?name=Rishabh%20Dinkar&skill=Guess%20The%20Number%20Game&children=true
B08541F43C,Elements dice,"start elements dice

Ok, Here's Elements dice

I threw the dice. The result is.Water

help

For Help, please visit the help pages on the Amazon web site.

Quit",,,https://creator.voiceflow.com/creator/terms?name=Ruggero%20Goldoni&skill=Elements%20dice&children=true
B085L6QRJC,Little River Tales,"open little river tales

Ok, Here's Little River Tales

Welcome to Little River Tales.This skill was built by 4th grade students in Little River Elementary.There are 3 fractured fairy tales written by 4th graders for you to hear based upon 3 popular stories The tales are, Wesley and the Wolf, A Mouse's Tail, and Granny's surprise.Which story would you like to hear?

wesley and the wolf

Welcome to the fractured fairy tale Wesley and the wolf.A story about a suppose-ed wolf and three pigs, as told by the middle brother. This story was written by Madeline, Harper, and Yu-e. Would you like to begin?

yes

Hi, I am Wesley Pig. I have two brothers named Elmer and Jiggs. I just finished making my cozy new stick house and I am as happy as a pig in mud! But I have a sinking feeling in my tummy that today may be the worst day of my life. No need to worry about it now though, so I drink my cofffee and watch some T.V . Suddently, I hear a knock on the door,

<Short audio>

Should I open the door?

yes

<Short audio>

It's my brother Elmer! Willie it's an emergency! Our houses might get destroyedOk, calm down, Elmer. What's going on? I saw the weather report this morning and it said there will be a big tornado called W. O. L. F A wolf?No, it stands for Windy Overpowered Loud Funnel. We have to rebuild our houses. I don't think they're strong enough! I think to myself. Should I keep my stick house and stay?

yes

You're going to stay here? I think you are being too worried over nothing. My house is fine! I built it in like20 minutes. I don't think the tornado will be that strong that it will blow my house away!Maybe you're right, but I'm going to stay with our big brother Jiggs instead in his brick house. Good luck!

continue

You're going to stay here? I think you are being too worried over nothing. My house is fine! I built it in like20 minutes. I don't think the tornado will be that strong that it will blow my house away!Maybe you're right, but I'm going to stay with our big brother Jiggs instead in his brick house. Good luck!

quit",,,https://creator.voiceflow.com/creator/terms?name=Sammi%20Westerlind&skill=Little%20River%20Tales&children=true
B07JBCTX8S,Fortnite Facts,"open fortnite facts

Ok, Here's fortnite facts

Here's your fact: Fortnite shares of all battle sharing is 83%

fortnite facts

Here's your fact: Average time a player spends within a game in a day 4-5 hours

fortnite facts

Here's your fact: The number of times fortnite has been downloaded in nintendo switch is 2 million times

fortnite facts

Here's your fact: Average time a player spends within a game in a day 4-5 hours

fortnite facts

Here's your fact: Although Fortnite amassed a large following upon release, its popularity was surpassed by that of a Steam title called PlayerUnknown’s Battlegrounds, commonly called PUBG.

quit",,,https://dabblelab.com/privacy
B07FDS1J66,Random Facts,"open random facts

Hi, Welcom to Random Cartoon Facts !! This skill will give you random facts about your favorite carton character. Do you Want to Know some amazing facts ?

yes

Gyarados has the greatest increase of its base stat total of any Pokémon compared to its pre-evolution. Do you want to hear another one?

yes

Superman was originally incapable of flying in the 1940s; hence the phrase “Able to LEAP tall buildings in a single bound.” Do you want to hear another one?

yes

Kangaskhan are born with a baby already in their pouch, the baby Kangaskhan is not a separate Pokémon. Do you want to hear another one?

yes

The show Akbar and Birbal is based on the life of the historical king Akbar and his minister Birbal. Birbal was the wisest of all wise men in Akbar’s court. Do you want to hear another one?

quit",,,https://dabblelab.com/privacy
B07HVV7HN4,Old MacDonald Had A Farm,"open old macdonald had a farm

Ok, Here's Old MacDonald Had A Farm

Moo goes the cow. Which animal of mine would you like to hear?

cat

Old MacDonald had a farm, eieio. And on that farm he had a cat, eieio. with a meow meow here, and a

<Short audio>

<Short audio>

there, here a meow, there a

<Short audio>

, everywhere a meow meow. Old MacDonald had a farm, eieio. And on that farm he had a

continue

Old MacDonald had a farm, eieio. And on that farm he had a cat, eieio. with a meow meow here, and a

help

Tell me some animals that Old MacDonald had on his farm. Examples of these animals include cow, horse and duck. Say 'Sing Old MacDonald' and I will pick the animals.

quit

To help me learn, did Old MacDonald Had A Farm do what you wanted?

quit",,,https://danbehar.com/old-macdonald/privacy
B07B3M62K7,Tap the Sounds,"open tap the sounds

Ok, Here's Tap the Sounds

Tap the sounds you hear in: box

continue

Sorry, there is nothing for me to resume.

help

For Help, please visit the help pages on the Amazon web site.

Quit",,,https://devadigm.com/privacy-disclaimer/
B079PPRWFZ,Pick a Letter,"open pick a letter

Ok, Here's Pick a Letter

i

pick a letter

c

pick a letter

b

quit",,,https://devadigm.com/privacy-disclaimer/
B07D953KPX,Pick A State,"open pick a state

Ok, Here's Pick A State

WYOMING

pick a state

SOUTH DAKOTA

pick a state

ARKANSAS

quit",,,https://devadigm.com/privacy-disclaimer/
B079QL5F5F,Pick a Day,"open pick a day

Ok, Here's Pick a Day

Hi there! Ask me to choose a day of the week!

pick a day

I choose saturday!

pick a day

Hi there! Ask me to choose a day of the week!

pick a day

I choose sunday!

Quit",,,https://devadigm.com/privacy-disclaimer/
B07B1Y4P37,Pick a Month,"open pick a month

Ok, Here's Pick a Month

July

pick a month

March

quit",,,https://devadigm.com/privacy-disclaimer/
B07FZ36W1N,Power House Family,not found,,,https://dinnertablemba.com/privacy-policy/
B07GSPJQ8G,Animal Sounds Quiz,"Alexa, open Animal Sounds Quiz",,,https://docs.google.com/document/d/17VJZphVUkSON5HBEPGUWLdiq5QfE-WeVJ8RLgvzEOQk
B07KFZ1KCH,Doggy Math,not work,,,https://docs.google.com/document/d/18CPDxRquRNL_GZdnlDqbSbJe2hXJ572tr9nNMIWcPU8/edit?usp=sharing
B07XV6Z4ZM,Guess My Age,"open guess my age

Ok, Here's Guess my Age

Hi. I think I can guess your age. Do you want me to try?

yes

First you must write down your age. Say the word READY to continue.

ready

Please add 94 to your age. Say the word CONTINUE when you are done.

continue

Sum the first digit to the other two and let me know the number.

15

First you must write down your age. Say the word READY to continue.

ready

Please add 94 to your age. Say the word CONTINUE when you are done.

continue

Sum the first digit to the other two and let me know the number.

15

First you must write down your age. Say the word READY to continue.

help

You can ask me to guess your age, or, you can say exit... What can I help you with?

quit",,,https://docs.google.com/document/d/1AV4bD_QhGwm6zZutpHkTEvU9-KyqLmFtzHJAlXLB9RE/edit?usp=sharing
B07CKDJHZM,Dino of the Day,audio,,,https://docs.google.com/document/d/1c2VrGI4VwNL029vOX5WqZHc6cb1Axb88OuABUmAqin4/edit?usp=sharing
B07S627YPK,My Chandigarh University,"open my chandigarh university

Ok, Here's My Chandigarh University

Welcome to Chandigarh University. It's the fastest growing university in Asia and one of the top ranked private universities in North India. What Kind of information do you need regarding Chandigarh universiy?

yes

Okay. For this please go and visit the Chandigarh universiy website and explore it. You can search for it by typing c u c h d.in. Thank you for using our service!

quit",,,https://docs.google.com/document/d/1Gdjbc_1kU8ryPitqYoR-WSRs5sZ5ZinJZ8cnskLNYYw/edit?usp=sharing
B07W57DMG4,Math Teacher,"Alexa, open Math Teacher",,,https://docs.google.com/document/d/1kgeFgaVhlYZpboZozgse2k0Da8gztEE_RrJi9xNRa_M/edit?usp=sharing
B07YG3BL1K,Thinking Cap Math,"start thinking cap

Ok, Here's Thinking Cap Math

all righty! Welcome to the Thinking Cap Math Championship! This is Coach Fred. Let's start with some warm ups! We can work on addition, or counting, which one would you like?

addition

great choice , We can work on addition with numbers between 5 and 20. Which one would you like?

5

Sorry, I didn't catch that, We can work on addition with numbers between 5 and 20. Which one would you like?

five

Great, let's do it. We'll start our warm up, with the game Make a Magic Number, with the number 5. In this game, you can earn up to 10 points!

<Short audio>

Many things come in groups of 5, like for example the fingers on your hand. Let's look at the different ways we can make the number 5. How many does 3 need, to make 5?

2

That’s crazy! You gotta tell me that again. How many does 3 need, to make the number 5?

two

You're absolutely right! 3 plus 2 is 5. Now let's try the number 2. How many does 2 need, to make 5?

four

4? I don't think so, give it another shot. How much would you add to 2, to make 5?

three

Yes! 2 PLUS 3 is 5. Now let's try it with 3. How many does 3 need, to make 5?

two

Great! And the last one, How many more does 1 need, to make 5?

three

3? Almost, let's try again. How much would you add to 1, to make 5?

four

Well done! You found many ways to make the number 5. You have earned 7 points, and your total score is now 7 points. Good job! Before we continue, here's a quick update from the Ministry of Thinking Caps.

<Short audio>

Thank you coach Fred, and hello team. Here's the latest update. Currently, there are 7 The Very Speedy Amoebas playing at the championship. We wish you good luck! 7? I’m pretty certain one of them will try to stop us from winning the cup. Let's continue before they show up for the competition. In the second warm up, we'll play a game called Brainy Harvest, and here you can earn up to 12 points!

<Short audio>

Imagine that you are holding a bucket of freshly picked cucumbers. You picked up 5 cucumbers, and I give you 2 more, how many cucumbers do you have now?

two

2? Almost, let's try again. How much is 5 plus 2?

seven

That's right, 5 plus 2 is 7. What if you picked up 3 cucumbers, and I gave you 2 more? How many would you have then?

five

Good, and if you had 1, and I added 2 more? How many cucumbers would that be?

three

Nice, and if you had 7, and I added 1? How many would that be?

eight

Right on! And imagine that you are holding 2 cucumbers, and I give you 2 more? How many would you have then?

quit",,,https://docs.google.com/document/d/1mqFDFpVUyM8OrR1h4YOtGzg7t0ncmzLIqDc94u9xzts/edit?usp=sharing
B07RJM8PQ3,Break words,"open break words

Ok, Here's Break words

Welcome to Break words! At any time you can ask for your score Just say what is my score? Alright. Let's begin!Question one Which four letter word can be formed using alphabet's in Disk?

disk

Oh no... That isn't right. Answer is kids Oh well, next question Which three letter word spell same from both end? Your options are 1Yes 2wow

2

Whoops! I didn't understand that. Please answer one of the two options yeswow

two

Whoops! I didn't understand that. Please answer one of the two options yeswow

wow

<Short audio>

You got it right!Which four letter word can be formed by using alphabet's in left? Your options are telf Left

telf

Oh no, you got it wrong!

<Short audio>

That's the end of our game You ended with a score of 1 Come back later to see if you can get a better score!

quit",,,https://docs.google.com/document/d/1RY1FtWmO4hqbhVOLZPLmM_-FSDKd8TLn5DIwp5mUTzA/edit?usp=sharing
B07K8BN5B5,Earth Facts,Alexa open earth facts and tell me a fact,,,https://docs.google.com/document/d/1Wr8QUMW7J_odKQcXfTiftD26ygXWE0d_tZosRBLQB9I/edit?usp=sharing
B07T4GHP51,Talk of United States Trivia,audio,,,https://docs.google.com/document/u/1/d/e/2PACX-1vS51PkHnA8ZyVTXOyNGhM-VwZ1C8lBeD6GCb-NBO3MEsJUhVDtHR1qYdzTnuYvy0uOfeeK6mEqADuyA/pub
B07YV6WSWH,Food Facts,"Alexa, open food facts",,,https://drive.google.com/file/d/1CRHqR9zvQsw0qpSJBkSOI8grlWD4J-tv/view
B07WFK9MBW,rock paper scisssors,"open rock paper scissors

Welcome to the Rock, Paper, Scissors Tournament! Here, you will compete with me, Tournament Master Alexa, in a match of Rock, Paper, Scissors. Would you like to play?

yes

Ready? Rock, paper, scissors, shoot!",,,https://drive.google.com/open?id=1ND1-_Y0HpPWI-SCbbiHOkCJ3HLNBCeBi
B01J2XQ1VM,Rhyme Time,audio,,,https://elgreg.github.io/rhymenocerous/privacy.html
B07BQDCK71,PAC-MAN Stories,audio,,,https://en.bandainamcoent.eu/content/privacy-policy
B07X3CHHZR,Everlesson Updates,not work,,,https://everlesson.com/privacy-policy/index.html
B07CJ4Z7BW,Times Tables Trainer,"open times tables trainer

Ok, Here's Times Tables Trainer

Ok, ready to test times tables for kids!What number would you like to practice?

3

Good luck.4 times 3... is?

12

nice! 10 times 3... is?

4

Almost. It's 30. 7 times 3... is?

65

It's 21. 2 times 3... is?

4

Almost. It's 6. 4 times 3... is?

65

It's 12. Half way there. 5 times 3... is?

quit",,,https://flow.ai/privacy-policy
B07FBM4DCF,Mrs. Howard Classroom,"open mrs.howard classroom

Do you mean Mrs. Howard Classroom?

yes

Ok, Here's Mrs. Howard Classroom

Hello First Graders

<Short audio>

<Short audio>

Welcome to Mrs. Howard's Classroom! Before we get started would you tell me your name?

terry

It is great to meet you terry I hope that you are excited for the new school year. Mrs. Howard has a message for you. Want to hear it? Scream First Graders Rock

yes

Let me hear it again. First Graders Rock

graders rock

<Short audio>

continue

<Short audio>

help

Thanks for visiting Mrs Howard's Classroom. She is so excited that you are here. If you want to continue, say yes. Else, say no.

no

Thanks for visiting Mrs Howard's Classroom. She is so excited that you are here. If you want to continue, say yes. Else, say no.

quit",,,https://getstoryline.com/public/privacy.html
B07L1SFTJ5,Dress Me Up,"open dress me up

Ok, Here's Dress Me Up

Good morning kiddo Hope you had a good night sleep~Ready to wake up your magical powers? Let's dress up for the best day! Say Yes to continue

yes

NIce! So tell me sweetyAre you ready to play? Here's a game for you I'll give you two characters to choose from You pick one and I'll help you dress like it. So What would you like to be today Superman? or Batman?

superman

Wow, You've picked up such a great character today,superman lets pick up your clothes ok?Say Yes when you're ready

yes

Please go to your closet look at the shirts shelf.Do you see the shirts?Say Yes or No

yes

Listen sweety, What I know is that superman just loves Purple Do you see any shirt that has this color? Say yes if you do

yes

Good Job Now put it on during the music I play for you, and when you’re done just say alexa stopLets go

stop",,,https://getstoryline.com/public/privacy.html
B07DC877T1,Kid Yoga practice,"open yoga practice

Ok, Here's Kid Yoga practice

Hello and Welcome to this amazing skill of Yoga for Kids !! Yoga for Kids helps you practice various Yoga Poses. Let's start yoga practice. To skip specific yoga pose any time, just say, ""skip yoga pose"". Today we will practice, Extended butterfly pose.Benefits. Increases balance, strengthens legs and spine. Let's begin. Follow my instructions. Sit on your mat, with your legs straight in front of you. Keep your feet flat on the floor, and slide your feet closer to your body so your knees are bent. Adjust your arms and hands, so you are holding on to your feet. Lean back slightly, and straighten your legs as you keep holding your feet. Lift your chest to help you keep your back straight. Hold this pose for a few breaths, then return your feet to the ground, flat on the floor. pose! you were amazing today !!

<Short audio>

Would you like to practice more yoga poses ? Say ""yes"" to continue, and ""no"" to stop.

yes

<Short audio>

That's the spirit !! Here is the new Yoga pose for you. Chair pose. Benefits. Chair pose Strengthens legs, stretches shoulders and chest, reduces flat feet. Let's begin. Follow my instructions. Stand tall, with your toes touching and feet slightly apart. If it is more comfortable, you may keep your feet a few inches apart.Allow your body to gently sway back and forth.Slowly bring the swaying to a standstill. Stop with your weight balanced evenly on your feet. Now, Bend your knees as you lift your arms towards the ceiling. Make sure your palms are facing each other!Hold this pose for a couple of breaths.Slowly return to Mountain Pose, by straightening your legs and lowering your arms. That was brilliant !!

continue

I did not get what you said. Let's try again. Would you like to practice more yoga poses ? Say ""yes"" to continue, and ""no"" to stop.

help

Yoga Practice and Breathing exercises help you relax your body and mind.This skill provides 4 in 1 benefits.Yoga practice, Breathing exercises, Meditation and benefits of breathing exercises. So, what are we waiting for ? Say ""Yes"" to begin and ""No"" to stop.

quit",,,https://getstoryline.com/public/privacy.html
B07F14J1HH,Meditation  Sounds  Fairy Blessings,audio,,,https://getstoryline.com/public/privacy.html
B07CRH4T6J,Share and Take Turns,"start take turns

Ok, Here's Share and Take Turns

Welcome to ""Share and Take Turns""! What is the name of the first child?

terry

What is the name of the second child?

jack

OK, terry and jack, would you please share and take turns? Remember, sharing is caring! You will have one minute for each turn. terry, it's your turn!

share

Sorry, I'm not sure.

yes

Sorry, I don't know that one.

help

For Help, please visit the help pages on the Amazon web site.

quit",,,https://getstoryline.com/public/privacy.html
B07DJ4KSX7,Help Me Get Dressed,"open help me get dressed

Ok, Here's Help Me Get Dressed

Good morning princess Hope you had a nice sleep full of magical dreams!I had many dreams myself! Lets get you ready for your day ok? Say Yes to continue

yes

Wow! I am excited too! So tell me sweetyWould you like to play with me? Here's a game for you I'll give you two characters to choose from You pick one and I'll help you dress like it. So What would you like to be today A kitty? or a beetle?

kitty

kitty

The cat is a domestic species of small carnivorous mammal. It is the only domesticated species in the family Felidae and is often referred to as the domestic cat to distinguish it from the wild members of the family. A cat can either be a house cat, a farm cat or a feral cat; the latter ranges freely and avoids human contact.

help

For Help, please visit the help pages on the Amazon web site.

quit",,,https://getstoryline.com/public/privacy.html
B07D4M2QX4,Animal A B C's,"open animal a b c

Welcome to Animal ABCs! Learn your ABCs by associating animals that begin with each letter of the alphabet. For each letter, Alexa will name an animal that begins with the letter. She will spell the word and then give you a chance to say the letter and it's animal, such as ""c is for cow"". There are multiple animals for most letters. The animals are presented randomly, so that each round of ABCs will be different. When you're ready to begin, say go.

go

A is for alligator. Alligator a, l, l, i, g, a, t, o, r. A is for Alligator. Now it is your turn. Say, ""A is for alligator"".

a is for allgator

Great job. Next, B is for bear. Bear b, e, a, r. B is for bear. Now it is your turn. Say, ""B is for bear"".

b is for bear""

Great job. Next, C is for cat. Cat: c, a, t. Now it is your turn. Say: C is for cat.

c is for cat

Great job. After C comes D. D is for dog. Dog: d, o, g. D is for dog. Now it is your turn. Say: D is for Dog.

d is for dog

Good job. Next is the letter E. E is for emu. emu is spelled e, m, u. E is for emu. Now it is your turn. Say: E is for emu.

quit",,,https://getstoryline.com/public/privacy.html
B07FL87R6R,Car Color Game,"open car color game

Ok, Here's Car Color Game

Let's play the Color Car Game Are you Ready to Play

yes

Let's Play Player one You are going to Count orange Cars, and Player two you are going to Count Purple Cars Ready, Set Go!

<Short audio>

continue

Congratulations let's play again Player one You are going to Count blue Cars, and Player two you are going to Count White Cars Ready, Set Go!

help",,,https://getstoryline.com/public/privacy.html
B07DN7HSF5,Funny Animal Jokes,"open funny animal jokes

Ok, Here's Funny Animal Jokes

Welcome to Funny Animal Jokes, would you like to hear one now? Please say Yes or no.

yes

Why is there a crab in prison?Because he kept pinching things. Would you like to hear another?

yes

What do you call a fish with no eyes?A fsh Are you ready for another one?

yes

Why did the deer sit on the stove?He wanted to be home on the range. Are you ready for another one?

yes

What do you do with a blue elephant?You try and cheer her up. Are you ready for another one?

quit",,,https://getstoryline.com/public/privacy.html
B07D22DM7D,Which Animal,"open which animal

Welcome to Which Animal! Hello, Today we are going to play a very simple quiz. I am going to play an animal sound and you are going to try and guess the name of the animal. Lets Go.

<Short audio>

which animal is that?

i don't know

You are wrong. would you like to try again, or do you want me to give you the answer? Say TRY Again to try again or say answer for the correct answer.

answer

it is a lion. Next.

<Short audio>

cat

it is a lion. Next.

<Short audio>

dog

You are wrong. would you like to try again, or do you want me to give you the answer? Say TRY Again to try again or say answer for the correct answer.

quit",,,https://getstoryline.com/public/privacy.html
B07BPM6CN9,Play Time Ideas,"open playtime ideas

Ok, Here's Play Time Ideas

Are you ready for a play time idea? Welcome to Playtime Ideas! Time to get creative!

yes

Build something cool. Use Legos or other build blocks and create something new. You could even do a build-off challenge with your friends!

continue

Sorry, there is nothing for me to resume.

help

For Help, please visit the help pages on the Amazon web site.

quit",,,https://getstoryline.com/public/privacy.html
B07C4PNTWX,Kiddie Jokes,"open kiddie jokes

Ok, Here's Kiddie Jokes

Welcome to Kiddie Jokes! Are you ready for a kiddie joke today?

yes

Why was 6 afraid of 7?Because 7, 8, 9 Thats kinda corny Would you like to hear another joke?

yes

When you look for something, why is it always in the last place you look?Because when you find it, you stop looking. I'll be her all week. Acually, I don't have legs so I'll be here until you move me! Would you like to hear another joke?

yes

Why did the teddy bear say no to dessert?Because she was stuffed. I'm gonna have to share that one with my friends. Would you like to hear another joke?

yes

What do you call a dinosaur that is sleeping? A dino-snore! wow Would you like to hear another joke?

yes

What is fast, loud and crunchy? A rocket chip! Thats kinda corny Would you like to hear another joke?

yes

Two pickles fell out of a jar onto the floor. What did one say to the other?Dill with it. hmm..I don't get it. Would you like to hear another joke?

quit

To help me learn, did Kiddie Jokes do what you wanted?

quit",,,https://getstoryline.com/public/privacy.html
B07C58TJGB,Discipline The Kids With Fun,not work,,,https://getstoryline.com/public/privacy.html
B07JHD1MHR,Kid Chef,"open kid chef

Ok, Here's Kid Chef

<Short audio>

continue

<Short audio>

help

You’ve just started as junior chef at the world famous LELLO restaurant. For each important guest that dines, choose the tastiest menu before cooking each dish to perfection. I’m Chef Alexa and I’ll be helping you along the way. When you’re ready to start, say “Let’s cook!”

let's cook

<Short audio>

quit",,,https://getstoryline.com/public/privacy.html
B07CN6YBNK,Eco Hacks,"open eco hacks

Ok, Here's Eco Hacks

Welcome to Eco Hacks: a fun game of truth or dare with an environmental twist! Challenge yourself and your family to play at least once per day to help our environment. Let's Play! Do you want a truth or a dare?

truth

Did you know? Running your engine for more than 10 seconds while not moving produces unnecessary carbon dioxide emissions. So tell me the truth: have you ever revved your engine at a stop light?

yes

Wow! I can't believe you just admitted that. Do you want to keep playing?

yes

Do you want a truth or a dare?

dare

Great. First, consider this. Cold showers help lower your carbon footprint. Now here is your dare. You have one minute to take a cold shower. Do you accept the dare?

yes

Great. Your 1 minute timer starts now.

<Short audio>

help

With this skill, you can ask for a truth or a dare with an environmental twist. Do you want to play?

quit",,,https://getstoryline.com/public/privacy.html
B07CPLLXHC,Christmas Countdown,"Alexa, open Christmas Countdown",,,https://getstoryline.com/public/privacy.html
B07C9XDL32,Baby Lullaby Music For Relaxation and Sleep,"open baby lullaby music

Ok, Here's Baby Lullaby Music For Relaxation and Sleep

Welcome to Baby Lullaby! Would you like to listen to some awesome baby music box lullabies? Please say Yes or No

yes

Enjoy!

help

For Help, please visit the help pages on the Amazon web site.

quit",,,https://getstoryline.com/public/privacy.html
B07CXSJR7V,Filipino Nursery Rhymes,"open filipino nursery rhymes

What Filipino Nursery Rhymes do you want to hear? Say ""Help"" if you need it.

help

With this skill, kids will surely enjoy listening and dancing to old time favorite Filipino nursery rhymes, while learning in Tagalog about counting, animals, colors, vegetables, and many more, in a fun way! To start, you can say, ""Give me the list of songs"", ""Play all"", ""Play a random song"", ""Shuffle"" or say the song title to play a specific song. When a song ends or while it is playing, you can say, ""Alexa, change song"", to play a different song. What Filipino Nursery Rhymes do you want to hear? Say ""Help"" if you need it.

play all",,,https://getstoryline.com/public/privacy.html
B07D8D69NY,Kids Bible Verses,"open kids bible verses

Ok, Here's Kids Bible Verses

Welcome to kids bible verses! Would you like to hear a verse? If so say Yes

yes

Romans 12:12 – Rejoice in hope, be patient in tribulation, be constant in prayer.",,,https://getstoryline.com/public/privacy.html
B07CT4L5S1,Itsy Bitsy Spider Sing-Along Song,"play itsy bitsy spider

The Itsy Bitsy Spider is available with Amazon Music Unlimited which lets you play over 60 million songs. It's free for 30 days and then you'll be automatically charged $9.99 a month. Cancel anytime. Terms in the Alexa app. Should I start your free trial and play The Itsy Bitsy Spider?

yes

There is a problem with your payment method. To update it, go to Settings in your Alexa app and choose Voice Purchasing and check your 1-click preferences.

help

For Help, please visit the help pages on the Amazon web site.

quit",,,https://getstoryline.com/public/privacy.html
B07FMMR94G,Make your own Superhero,"open make your own superhero

Ok, Here's Make your own Superhero

Are you ready to Make your own unique Superhero Each time, everytime , Let's get started.Make sure you have your drawing book, pencils and crayons ready

<Short audio>

Draw a head and body for your superhero. Anyway you like

<Short audio>

continue

Are you done with your hero's fantabulous mask?

yes

Next we have to pick the right kind of hair. I'm thinking green and curly.

<Short audio>

continue

Are you done drawing your hero's funtertaining hair?

yes

Now for the most important one. The superhero suit. Let's make it green with black boots

<Short audio>

yes

Every hero needs a weapon. I think a wooden paddle will look good

<Short audio>

yes

Alright then. Now heroes normally fly. But I bet most of them like driving around every now and then. What if your hero had a yellow scooter

<Short audio>

yes

Now to add the final touch to make your hero extra special. How about a big red hat on your hero's hair

<Short audio>

Does your hero look stunning yet?

yes

And there we have it. Your very own superhero. Now, what will you call your hero?

<Short audio>

I wouldn't have come up with such a cool name. Show off your superhero to your parents and friends Bye bye

yes

Hmm, I don't know that one.

help

For Help, please visit the help pages on the Amazon web site.

quit",,,https://getstoryline.com/public/privacy.html
B07DCJ6RBR,Baby Deep Sleep,not work,,,https://getstoryline.com/public/privacy.html
